review_task_id,related_type,related_id,deal_id,source_id,restaurant_id,source_capture_id,direct_confirmation_id,report_source,opened_at,opened_by,assigned_reviewer,review_reason,risk_flags,priority,status,decision,decision_reason,decided_at,decided_by,next_action,next_action_due,public_copy_approval_status,food_alcohol_copy_check,next_check_due_required,expires_on_required,audit_event_id,resolution_notes
rt-wilmington-cornelias-thu-wings-2026-06-04,deal_candidate,cand-wilmington-cornelias-thu-wings-2026-06-04,,src-cornelias-primary,cornelias,cap-wilmington-cornelias-weekly-specials-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Review Thursday wing candidate for food-only copy public access durable capture and restrictions.,public_access_unclear;alcohol_copy_suppression_required;restrictions_incomplete;human_review_required,high,open,,,,,Review captured screenshot/normalized text/hash; confirm public access at The Davis Community and approve or reject.,2026-06-11,pending,required,true,false,,Durable official page screenshot and normalized text hash captured by codex_agent_evidence_hardening on 2026-06-04; leave review decision blank until human review.
rt-wilmington-cornelias-thu-smashburger-2026-06-04,deal_candidate,cand-wilmington-cornelias-thu-smashburger-2026-06-04,,src-cornelias-primary,cornelias,cap-wilmington-cornelias-weekly-specials-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Review Thursday smashburger candidate for food-only copy public access durable capture and restrictions.,public_access_unclear;alcohol_copy_suppression_required;restrictions_incomplete;human_review_required,high,open,,,,,Review captured screenshot/normalized text/hash; confirm public access at The Davis Community and approve or reject.,2026-06-11,pending,required,true,false,,Durable official page screenshot and normalized text hash captured by codex_agent_evidence_hardening on 2026-06-04; leave review decision blank until human review.
rt-wilmington-tomiko-san-sushi-hour-2026-06-04,deal_candidate,cand-wilmington-tomiko-san-sushi-hour-2026-06-04,,src-tomiko-san-primary,tomiko-san,cap-wilmington-tomiko-san-sushi-hour-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Review Sushi Hour source for food-safe copy and confirm exact food item and price details.,durable_capture_missing;mixed_food_alcohol;price_missing;exact_food_items_missing,normal,open,,,,,Capture screenshot/archive/hash and direct-confirm prices or approve with cautious internal-only handling.,2026-06-11,pending,required,true,false,,Not approved; not publication-ready.
rt-wilmington-el-cerro-mj-lunch-specials-2026-06-04,deal_candidate,cand-wilmington-el-cerro-mj-lunch-specials-2026-06-04,,src-el-cerro-grande-monkey-junction-primary,el-cerro-grande-monkey-junction,cap-wilmington-el-cerro-mj-lunch-specials-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Decide whether regular lunch-menu specials qualify as deals and complete Monkey Junction boundary review.,regular_menu_qualification_required;monkey_junction_boundary_review_required;durable_capture_missing,high,open,,,,,Capture screenshot/archive/hash review lunch-menu qualification and complete Monkey Junction publication gate before any promotion.,2026-06-11,pending,not_applicable,true,false,,Not approved; not publication-ready.
rt-wilmington-michaelangelos-mj-slices-drink-2026-06-04,deal_candidate,cand-wilmington-michaelangelos-mj-slices-drink-2026-06-04,,src-michaelangelos-pizza-monkey-junction-primary,michaelangelos-pizza-monkey-junction,cap-wilmington-michaelangelos-mj-specials-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Review saved image/OCR evidence, verify restrictions, limited-time freshness, and Monkey Junction boundary before any import.",image_based_price_review_required;limited_time_no_end_date;monkey_junction_boundary_review_required;public_copy_not_approved,high,open,,,,,"Reviewer must compare normalized OCR against saved screenshot/image asset, set conservative expiry or recheck, and complete Monkey Junction boundary review.",2026-06-11,pending,not_applicable,true,true,,Screenshot/image/OCR artifacts captured; no approval or publication decision recorded.
rt-wilmington-might-as-well-cheeseburgers-2026-06-04,deal_candidate,cand-wilmington-might-as-well-cheeseburgers-2026-06-04,,src-might-as-well-wilmington-primary,might-as-well-wilmington,cap-wilmington-might-as-well-specials-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Volatile official source needs review and food-only copy.,text evidence artifact captured; no screenshot; no human approval; alcohol-adjacent source; public copy not approved; expires next day,high,open,,,,,Review local evidence artifact and approve today or let expire after 2026-06-05.,2026-06-05,not_started,food_only_pending,true,true,,Evidence text artifact captured 2026-06-04; task remains open and unapproved.
rt-wilmington-sawmill-pasta-night-2026-06-04,deal_candidate,cand-wilmington-sawmill-pasta-night-2026-06-04,,src-sawmill-restaurant-primary,sawmill-restaurant,cap-wilmington-sawmill-daily-specials-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Volatile official source needs review and Monkey Junction boundary handling.,text evidence artifact captured; no screenshot; no human approval; price/details missing; Monkey Junction boundary-sensitive; public copy not approved; expires next day,high,open,,,,,Direct-confirm price and item details or let expire after 2026-06-05; complete Monkey Junction boundary review before any promotion.,2026-06-05,not_started,food_only_pending,true,true,,Evidence text artifact captured 2026-06-04; task remains open and unapproved.
rt-wilmington-fortunate-glass-chicken-mole-soup-2026-06-04,deal_candidate,cand-wilmington-fortunate-glass-chicken-mole-soup-2026-06-04,,src-fortunate-glass-primary,fortunate-glass,cap-wilmington-fortunate-glass-weekly-food-pdf-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Capture and review PDF-backed food-only soup special before any promotion.,pdf_visual_evidence;mixed_food_alcohol;time_window_missing;human_review_required,high,open,,,,,Review captured official PDF artifact and normalized text; verify food-only copy price formatting recurrence and missing time-window limits before any promotion.,2026-06-06,pending,required,true,false,,Durable PDF artifact/content hash/evidence_file_sha256 captured by codex_agent_evidence_hardening on 2026-06-04; leave review decision blank until human review.
rt-wilmington-fortunate-glass-spicy-garden-flatbread-2026-06-04,deal_candidate,cand-wilmington-fortunate-glass-spicy-garden-flatbread-2026-06-04,,src-fortunate-glass-primary,fortunate-glass,cap-wilmington-fortunate-glass-weekly-food-pdf-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Capture and review PDF-backed food-only flatbread special before any promotion.,pdf_visual_evidence;mixed_food_alcohol;time_window_missing;human_review_required,high,open,,,,,Review captured official PDF artifact and normalized text; verify food-only copy price formatting recurrence and missing time-window limits before any promotion.,2026-06-06,pending,required,true,false,,Durable PDF artifact/content hash/evidence_file_sha256 captured by codex_agent_evidence_hardening on 2026-06-04; leave review decision blank until human review.
rt-wilmington-tidewater-daily-specials-2026-06-04,deal_candidate,cand-wilmington-tidewater-daily-specials-food-2026-06-04,,src-tidewater-oyster-bar-toast-2026-06-04,tidewater-oyster-bar,cap-wilmington-tidewater-toast-daily-specials-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Partner-current Toast Daily Specials need durable capture and freshness handling before any promotion.,partner_source;content_hash_missing;screenshot_missing;date_specific_unclear;recurrence_missing;expires_on_required,high,open,,,,,Capture Toast evidence set same-day/next-day expiry or direct-confirm active food specials with restaurant.,2026-06-05,pending,required,true,true,,Leave review decision blank; do not rely on partner source alone for public publication.
rt-wilmington-roko-direct-confirm-house-special-2026-06-04,source,src-roko-italian-cuisine-primary,,src-roko-italian-cuisine-primary,roko-italian-cuisine,,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Friday/Saturday House Special is visible but lacks food detail, price, time, and restrictions.",exact_terms_missing;price_missing;time_window_missing;mixed_food_alcohol,high,open,,,,,Direct-confirm whether Fri/Sat House Special is food and capture item price time window recurrence and restrictions.,2026-06-08,not_applicable,required_if_deal_found,true,false,,Review-task only; do not create deal intake rows until exact source-backed or directly confirmed deal fields exist. Source capture pointer blanked because the referenced capture is not present in this intake packet.
rt-wilmington-castle-street-kitchen-direct-confirm-tacos-2026-06-04,source,src-castle-street-kitchen-primary,,src-castle-street-kitchen-primary,castle-street-kitchen,,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Rotating tacos signal exists, but current item, price, day, time, and recurrence are missing.",exact_terms_missing;price_missing;day_missing;time_window_missing;recurrence_missing,high,open,,,,,Direct-confirm current rotating taco feature price day/time recurrence and restrictions.,2026-06-08,not_applicable,required_if_deal_found,true,false,,Review-task only; do not create deal intake rows until exact source-backed or directly confirmed deal fields exist. Source capture pointer blanked because the referenced capture is not present in this intake packet.
rt-wilmington-yosake-direct-confirm-current-happy-hour-food-2026-06-04,source,src-yosake-primary,,src-yosake-primary,yosake,,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,Current linked source does not show exact happy-hour food terms; older official PDF is not enough for current evidence.,current_source_unclear;stale_or_conflicting_source;exact_terms_missing;mixed_food_alcohol,normal,open,,,,,Recheck current official page/PDF or direct-confirm current happy-hour food items discounts days/times and exclusions.,2026-06-08,not_applicable,required_if_deal_found,true,false,,Review-task only; no deal intake row proposed from stale or unclear source. Source capture pointer blanked because the referenced capture is not present in this intake packet.
rt-wilmington-c-street-direct-confirm-address-specials-2026-06-04,restaurant,c-street-mexican-grill,,src-c-street-mexican-grill-primary,c-street-mexican-grill,,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Address/ZIP conflict remains across fixture, official site, and ChowNow; no food-special signal found.",questionable_address;partner_source_conflict;no_food_special_signal;location_evidence_conflict,critical,open,,,,,Direct-confirm official address/ZIP first then ask whether any current food specials exist with exact terms.,2026-06-08,not_applicable,required_if_deal_found,true,false,,Review-task only; address cleanup must happen before deal research or publication path. Source capture pointer blanked because the referenced capture is not present in this intake packet.
rt-wilmington-might-as-well-wings-2026-06-05,deal_candidate,cand-wilmington-might-as-well-wings-2026-06-05,,src-might-as-well-wilmington-primary,might-as-well-wilmington,cap-wilmington-might-as-well-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 5 wings candidate for food-only copy and time-window conflict.,alcohol_copy_suppression_required;time_window_needs_review;text_artifact_only;expires_next_day;human_review_required,high,open,,,,,Review normalized official text and decide today; confirm all-day wording versus displayed time or let expire.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-might-as-well-sunday-buffet-2026-06-07,deal_candidate,cand-wilmington-might-as-well-sunday-buffet-2026-06-07,,src-might-as-well-wilmington-primary,might-as-well-wilmington,cap-wilmington-might-as-well-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 7 buffet candidate for food-only copy and displayed time window.,late_end_time_needs_review;text_artifact_only;expires_next_day;human_review_required,normal,open,,,,,Review normalized official text and confirm buffet service window before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-might-as-well-large-pizza-discount-2026-06-07,deal_candidate,cand-wilmington-might-as-well-large-pizza-discount-2026-06-07,,src-might-as-well-wilmington-primary,might-as-well-wilmington,cap-wilmington-might-as-well-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 7 large pizza discount candidate for food-only copy and displayed time window.,late_end_time_needs_review;text_artifact_only;expires_next_day;human_review_required,normal,open,,,,,Review normalized official text and confirm discount service window before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-might-as-well-appetizer-menu-2026-06-08,deal_candidate,cand-wilmington-might-as-well-appetizer-menu-2026-06-08,,src-might-as-well-wilmington-primary,might-as-well-wilmington,cap-wilmington-might-as-well-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 8 appetizer menu candidate for food-only copy and event/alcohol suppression.,alcohol_copy_suppression_required;event_copy_suppression_required;text_artifact_only;expires_next_day;human_review_required,normal,open,,,,,Review normalized official text and confirm appetizer menu scope before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-might-as-well-cheese-quesadilla-2026-06-09,deal_candidate,cand-wilmington-might-as-well-cheese-quesadilla-2026-06-09,,src-might-as-well-wilmington-primary,might-as-well-wilmington,cap-wilmington-might-as-well-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 9 cheese quesadilla candidate for food-only copy and alcohol suppression.,alcohol_copy_suppression_required;late_end_time_needs_review;text_artifact_only;expires_next_day;human_review_required,normal,open,,,,,Review normalized official text and confirm food service window before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-sawmill-coffee-cake-combo-2026-06-06,deal_candidate,cand-wilmington-sawmill-coffee-cake-combo-2026-06-06,,src-sawmill-restaurant-primary,sawmill-restaurant,cap-wilmington-sawmill-priced-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 6 coffee cake combo candidate and complete Monkey Junction boundary handling.,monkey_junction_boundary_review_required;alcohol_copy_suppression_required;text_artifact_only;expires_next_day;human_review_required,high,open,,,,,Review normalized official text and complete Monkey Junction boundary review before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-sawmill-avocado-toast-2026-06-06,deal_candidate,cand-wilmington-sawmill-avocado-toast-2026-06-06,,src-sawmill-restaurant-primary,sawmill-restaurant,cap-wilmington-sawmill-priced-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 6 avocado toast candidate and complete Monkey Junction boundary handling.,monkey_junction_boundary_review_required;addon_price;alcohol_copy_suppression_required;text_artifact_only;expires_next_day;human_review_required,high,open,,,,,Review normalized official text add-on wording and complete Monkey Junction boundary review before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-sawmill-avocado-toast-2026-06-07,deal_candidate,cand-wilmington-sawmill-avocado-toast-2026-06-07,,src-sawmill-restaurant-primary,sawmill-restaurant,cap-wilmington-sawmill-priced-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 7 avocado toast candidate and complete Monkey Junction boundary handling.,monkey_junction_boundary_review_required;addon_price;alcohol_copy_suppression_required;text_artifact_only;expires_next_day;human_review_required,high,open,,,,,Review normalized official text add-on wording and complete Monkey Junction boundary review before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-sawmill-coffee-cake-combo-2026-06-07,deal_candidate,cand-wilmington-sawmill-coffee-cake-combo-2026-06-07,,src-sawmill-restaurant-primary,sawmill-restaurant,cap-wilmington-sawmill-priced-future-specials-2026-06-04,,agent_task_c,2026-06-04T15:00:00-04:00,codex_agent_task_c,codex_research_review,Review June 7 coffee cake combo candidate and complete Monkey Junction boundary handling.,monkey_junction_boundary_review_required;alcohol_copy_suppression_required;text_artifact_only;expires_next_day;human_review_required,high,open,,,,,Review normalized official text and complete Monkey Junction boundary review before any approval.,2026-06-05,pending,required,true,true,,Candidate added as internal review only; leave decision blank until human review.
rt-wilmington-michaelangelos-mj-18-inch-1-topping-2026-06-04,deal_candidate,cand-wilmington-michaelangelos-mj-18-inch-1-topping-2026-06-04,,src-michaelangelos-pizza-monkey-junction-primary,michaelangelos-pizza-monkey-junction,cap-wilmington-michaelangelos-mj-18-inch-1-topping-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Review saved image evidence, verify restrictions, limited-time freshness, and Monkey Junction boundary before any import.",image_based_price_review_required;limited_time_no_end_date;monkey_junction_boundary_review_required;public_copy_not_approved,high,open,,,,,"Reviewer must compare captured screenshot against extracted text, verify price/restrictions, set conservative expiry or recheck, and complete Monkey Junction boundary review.",2026-06-11,pending,not_applicable,true,true,,Existing official page screenshot/HTML archive supports internal review only; no approval or publication decision recorded.
rt-wilmington-michaelangelos-mj-16-inch-cheesy-bread-2026-06-04,deal_candidate,cand-wilmington-michaelangelos-mj-16-inch-cheesy-bread-2026-06-04,,src-michaelangelos-pizza-monkey-junction-primary,michaelangelos-pizza-monkey-junction,cap-wilmington-michaelangelos-mj-16-inch-cheesy-bread-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Review saved image evidence, verify restrictions, limited-time freshness, and Monkey Junction boundary before any import.",image_based_price_review_required;limited_time_no_end_date;monkey_junction_boundary_review_required;public_copy_not_approved;service_mode_unknown,high,open,,,,,"Reviewer must compare captured screenshot against extracted text, verify price/restrictions and service-mode applicability, set conservative expiry or recheck, and complete Monkey Junction boundary review.",2026-06-11,pending,not_applicable,true,true,,Existing official page screenshot/HTML archive supports internal review only; no approval or publication decision recorded.
rt-wilmington-michaelangelos-mj-two-14-inch-1-topping-2026-06-04,deal_candidate,cand-wilmington-michaelangelos-mj-two-14-inch-1-topping-2026-06-04,,src-michaelangelos-pizza-monkey-junction-primary,michaelangelos-pizza-monkey-junction,cap-wilmington-michaelangelos-mj-two-14-inch-1-topping-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Review saved image evidence, verify restrictions, limited-time freshness, and Monkey Junction boundary before any import.",image_based_price_review_required;limited_time_no_end_date;monkey_junction_boundary_review_required;public_copy_not_approved;service_mode_unknown,high,open,,,,,"Reviewer must compare captured screenshot against extracted text, verify price/restrictions and service-mode applicability, set conservative expiry or recheck, and complete Monkey Junction boundary review.",2026-06-11,pending,not_applicable,true,true,,Existing official page screenshot/HTML archive supports internal review only; no approval or publication decision recorded.
rt-wilmington-michaelangelos-mj-two-18-inch-1-topping-2026-06-04,deal_candidate,cand-wilmington-michaelangelos-mj-two-18-inch-1-topping-2026-06-04,,src-michaelangelos-pizza-monkey-junction-primary,michaelangelos-pizza-monkey-junction,cap-wilmington-michaelangelos-mj-two-18-inch-1-topping-2026-06-04,,agent_structured_intake,2026-06-04T12:00:00-04:00,codex_agent_intake,codex_research_review,"Review saved image evidence, verify restrictions, limited-time freshness, and Monkey Junction boundary before any import.",image_based_price_review_required;limited_time_no_end_date;monkey_junction_boundary_review_required;public_copy_not_approved;service_mode_unknown,high,open,,,,,"Reviewer must compare captured screenshot against extracted text, verify price/restrictions and service-mode applicability, set conservative expiry or recheck, and complete Monkey Junction boundary review.",2026-06-11,pending,not_applicable,true,true,,Existing official page screenshot/HTML archive supports internal review only; no approval or publication decision recorded.
rt-hurricane-alleys-cb-centennial-shrimp-2026-06-04,candidate,cand-hurricane-alleys-cb-centennial-shrimp-2026-06-04,,src-hurricane-alleys-primary,hurricane-alleys,cap-hurricane-alleys-cb-centennial-shrimp-2026-06-04,,codex_agent_handoff,2026-06-04T09:59:04-04:00,codex_agent_handoff,codex_research_review,Confirm active status recurrence restrictions and public-safe spelling.,price_specific_claim;recurrence_unclear;public_copy_needed,medium,open,,,,,Confirm whether this is active and how often it is offered; draft cautious public copy only after approval.,2026-06-11,pending,food_only,yes,yes,,Internal review task created from official website scan; no public promotion.
rt-wilmington-might-as-well-official-recheck-2026-06-04,source_capture,cap-wilmington-might-as-well-official-recheck-2026-06-04,,src-might-as-well-wilmington-primary,might-as-well-wilmington,cap-wilmington-might-as-well-official-recheck-2026-06-04,,agent_volatile_official_recheck,2026-06-04T16:00:00-04:00,codex_agent_volatile_recheck,codex_research_review,Attach refreshed official-page evidence to existing volatile Might As Well candidate rows; resolve food-only copy and time windows before approval.,alcohol_copy_suppression_required;event_copy_suppression_required;time_window_needs_review;volatile_date_window;human_review_required,high,open,,,,,Review refreshed official evidence and update existing candidate rows only if approving public-copy-safe terms.,2026-06-05,pending,required,true,true,,Appended as evidence-refresh task only; no review decision or public approval recorded.
rt-wilmington-sawmill-official-recheck-2026-06-04,source_capture,cap-wilmington-sawmill-official-recheck-2026-06-04,,src-sawmill-restaurant-primary,sawmill-restaurant,cap-wilmington-sawmill-official-recheck-2026-06-04,,agent_volatile_official_recheck,2026-06-04T16:00:00-04:00,codex_agent_volatile_recheck,codex_research_review,Attach refreshed official-page evidence to existing Sawmill candidate rows; complete boundary handling and suppress alcohol rows before approval.,monkey_junction_boundary_review_required;alcohol_copy_suppression_required;missing_price_for_many_rows;volatile_date_window;human_review_required,high,open,,,,,Review refreshed official evidence apply Monkey Junction boundary policy and keep only priced food rows unless directly confirmed.,2026-06-05,pending,required,true,true,,Appended as evidence-refresh task only; no review decision or public approval recorded.
rt-wilmington-rooster-official-recheck-2026-06-04,source_capture,cap-wilmington-rooster-official-recheck-2026-06-04,,src-rooster-and-the-crow-primary,rooster-and-the-crow-wilmington,cap-wilmington-rooster-official-recheck-2026-06-04,,agent_volatile_official_recheck,2026-06-04T16:00:00-04:00,codex_agent_volatile_recheck,codex_research_review,Decide whether to keep Rooster June 10 meatloaf as a lead or seek direct confirmation because official page omits price.,missing_price;volatile_date_window;human_review_required,normal,open,,,,,Direct-confirm price or leave as lead; do not add public-facing copy from no-price source alone.,2026-06-05,pending,required,true,true,,Appended as lead/source-capture task only; no deal-intake row review decision or public approval recorded.
rt-wilmington-k38-porters-neck-monday-5-food-items-2026-06-04,candidate,cand-wilmington-k38-porters-neck-monday-5-food-items-2026-06-04,,src-k38-porters-neck-primary,k38-porters-neck,cap-wilmington-k38-porters-neck-specials-2026-06-04,,codex_agent_handoff,2026-06-04T10:25:43-04:00,codex_agent_handoff,codex_research_review,Review food-only copy exact item list and missing end time.,end_time_unknown;alcohol_adjacent_source;public_copy_needed,medium,open,,,,,Review evidence for cand-wilmington-k38-porters-neck-monday-5-food-items-2026-06-04; keep public copy cautious and restrictions visible before any approval.,2026-06-11,pending,food_only,yes,yes,,Internal review task created from official website discovery; no public promotion.
rt-wilmington-k38-porters-neck-wednesday-half-off-quesadilla-2026-06-04,candidate,cand-wilmington-k38-porters-neck-wednesday-half-off-quesadilla-2026-06-04,,src-k38-porters-neck-primary,k38-porters-neck,cap-wilmington-k38-porters-neck-specials-2026-06-04,,codex_agent_handoff,2026-06-04T10:25:43-04:00,codex_agent_handoff,codex_research_review,Review discount wording base-price absence and missing end time.,end_time_unknown;price_base_not_captured;public_copy_needed,medium,open,,,,,Review evidence for cand-wilmington-k38-porters-neck-wednesday-half-off-quesadilla-2026-06-04; keep public copy cautious and restrictions visible before any approval.,2026-06-11,pending,food_only,yes,yes,,Internal review task created from official website discovery; no public promotion.
