restaurant_id,name,city,state,neighborhood,address,phone,official_website,official_instagram,official_facebook,google_business_url,ordering_url,cuisine,tags,status,last_checked,notes
cornelias,Cornelia's,Wilmington,NC,Porters Neck / Davis Community,"980 Roundhouse Circle, Wilmington, NC 28411",,https://corneliasrestaurant.com/,,,,,American,weekly-specials;wings;burgers;needs_review,verified,2026-06-04,Official weekly-specials page has exact Thursday food prices; public access at The Davis Community still needs review.
tomiko-san,Tomiko-San,Wilmington,NC,Eastwood / Wrightsville Beach Gateway,"1904 Eastwood Road Suite 109, Wilmington, NC 28403",910-239-9011,https://www.tomiko-san.com/,,,,,Japanese;Sushi,sushi-hour;mixed-food-drink;needs_review,verified,2026-06-04,Official Sushi Hour event page has schedule and food signal; exact prices/items still need review.
el-cerro-grande-monkey-junction,El Cerro Grande - Monkey Junction,Wilmington,NC,Monkey Junction,"5120 College Rd #109, Wilmington, NC 28412",,https://elcerrogranderestaurant.com/monkeyjunction,,,,,Mexican,lunch-specials;monkey-junction;boundary-review;needs_review,verified,2026-06-04,Official menu has lunch-special prices; regular-menu qualification and Monkey Junction boundary review required.
michaelangelos-pizza-monkey-junction,Michaelangelo's Pizza - Monkey Junction,Wilmington,NC,Monkey Junction,"5617 Carolina Beach Rd #110, Wilmington, NC 28412",,https://www.michaelangelosmj.com/specials,,,,,Pizza,image-specials;monkey-junction;ocr-needed;needs_review,verified,2026-06-04,Official specials page is image-based; screenshot/OCR and Monkey Junction boundary review required.
might-as-well-wilmington,Might As Well Bar & Grill,Wilmington,NC,UNCW / Racine Drive,"250 Racine Dr. Unit 15, Wilmington, NC 28403",910-228-5365,https://wilmington.mightaswellbarandgrill.com/wilmington-might-as-well-bar-and-grill-wilmington-happy-hours-specials,,,,,Bar & Grill,date-windowed-specials;alcohol-adjacent;needs_review,verified,2026-06-04,Official date-windowed specials page has food candidates; durable capture and short expiry required.
sawmill-restaurant,Sawmill Restaurant,Wilmington,NC,Monkey Junction,"5611 Carolina Beach Rd, Wilmington, NC 28412",,https://thesawmillrestaurant.com/daily-specials/,,,,,Breakfast;Southern,date-windowed-specials;monkey-junction;boundary-review;needs_review,verified,2026-06-04,Official daily specials page has food candidates; durable capture short expiry and Monkey Junction boundary review required.
fortunate-glass,Fortunate Glass,Wilmington,NC,Downtown,"29 S Front St, Wilmington, NC 28401",,https://www.fortunateglass.com/,,,,,Tapas;Wine Bar,weekly-food-pdf;alcohol-suppression;needs_review,verified,2026-06-04,Official Weekly Food Specials PDF has food items/prices; exact PDF capture and alcohol suppression required.
tidewater-oyster-bar,Tidewater Oyster Bar,Wilmington,NC,Ogden / North Market,"8211 Market St Unit DD, Wilmington, NC 28411",,https://tidewateroysterbar.com/,,,,https://order.toasttab.com/online/tidewater-oyster-bar,Seafood;Oysters,daily-specials;partner-source;needs_review,verified,2026-06-04,Official site links Toast daily specials; partner-current evidence needs capture and same-day/next-day freshness handling.
roko-italian-cuisine,Roko Italian Cuisine,Wilmington,NC,Mayfaire / Military Cutoff,"6801-105 Parker Farm Dr, Wilmington, NC 28405",,https://www.rokoitalian.com/,,,,,Italian,house-special;direct-confirm-needed,needs_review,2026-06-04,Friday/Saturday House Special lacks food detail price time and restrictions; direct confirmation needed.
castle-street-kitchen,Castle Street Kitchen,Wilmington,NC,Castle Street / Downtown,"509 Castle St, Wilmington, NC 28401",,https://www.castlestkitchen.com/,,,,,American;Brunch,weekly-feature;tacos;direct-confirm-needed,needs_review,2026-06-04,Rotating taco feature lacks current item price day time and recurrence; direct confirmation needed.
yosake,YoSake,Wilmington,NC,Downtown,"33 S Front St, Wilmington, NC 28401",,https://yosake.com/,,,,,Asian Fusion;Sushi,happy-hour-food;needs-recheck,needs_review,2026-06-04,Current official linked source does not show exact happy-hour food terms; recheck or direct confirmation needed.
c-street-mexican-grill,C-Street Mexican Grill,Wilmington,NC,Shipyard / Long Leaf Mall,"4110 Shipyard Blvd N, Wilmington, NC 28403",,https://www.cstreetmex.com/,,,,https://direct.chownow.com/order/28956/locations/42738,Mexican,address-conflict;needs-recheck,needs_review,2026-06-04,Address/ZIP conflict remains across fixture official site and ChowNow; resolve before deal research.
hurricane-alleys,Hurricane Alley's,Carolina Beach,NC,Carolina Beach Boardwalk,"5 Boardwalk, Carolina Beach, NC 28428",,https://hurricanealleyscb.com/hurricane-alleys-restaurant-menu/,,,,,Seafood;American,carolina-beach;official-menu-special;needs_review,verified,2026-06-04,Official menu page supports a CB Centennial shrimp special candidate; recurrence and active-special interpretation require review.
