source_id,restaurant_id,source_type,source_tier,source_owner,source_url,collection_method,automation_allowed,permission_required,robots_or_terms_notes,wilmington_location_match,multi_location_risk,source_priority,source_status,requires_manual_check,login_required,volatile_source,expected_check_cadence_days,last_successful_check_at,last_failed_check_at,failure_reason,next_check_due,evidence_storage_path,notes
source:capt-n-bill-s-backyard-grill-bill-s-brewing:20260705,capt-n-bill-s-backyard-grill-bill-s-brewing,official_social_text,tier_2_official_social,Capt'n Bill's Backyard Grill official Facebook,https://www.facebook.com/captnbills/photos/1703370964385362/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/captnbills/photos/1703370964385362/,Auto-derived from deal-intake.csv on intake.
source:c-street-mexican-grill:20260705,c-street-mexican-grill,official_social_text,tier_2_official_social,C-Street Mexican Grill official Facebook,https://www.facebook.com/cstreetmexicangrill/posts/-kids-eat-free-today-after-4-pm-bring-the-family-enjoy-fresh-mexican-favorites-a/1584459159924738/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/cstreetmexicangrill/posts/-kids-eat-free-today-after-4-pm-bring-the-family-enjoy-fresh-mexican-favorites-a/1584459159924738/,Auto-derived from deal-intake.csv on intake.
source:bonita-latin-fusion-and-cocktails:20260705,bonita-latin-fusion-and-cocktails,toast_ordering_page,tier_1_official,Bonita Latin Fusion & Cocktails official Toast,https://www.toasttab.com/local/order/bonita-latin-fusion-cocktails-5-brunswick-st,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://www.toasttab.com/local/order/bonita-latin-fusion-cocktails-5-brunswick-st,Auto-derived from deal-intake.csv on intake.
source:commodore-public-house-and-kitchen:20260705,commodore-public-house-and-kitchen,official_social_text,tier_2_official_social,Commodore Public House & Kitchen official Facebook,https://www.facebook.com/commodoreilm/posts/commissary-tuesdaysall-sandwiches-only-12-with-your-choice-of-fries-including-th/1487092286762643/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.facebook.com/commodoreilm/posts/commissary-tuesdaysall-sandwiches-only-12-with-your-choice-of-fries-including-th/1487092286762643/,Auto-derived from deal-intake.csv on intake.
source:1504-resto-bar-and-restaurant:20260705,1504-resto-bar-and-restaurant,official_social_text,tier_2_official_social,1504 Resto Bar official Instagram,https://www.instagram.com/reel/DSFZ3_8iRYG/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.instagram.com/reel/DSFZ3_8iRYG/,Auto-derived from deal-intake.csv on intake.
source:banh-sai-cargo-district:20260705,banh-sai-cargo-district,toast_ordering_page,tier_1_official,Banh Sai Cargo District official Toast,https://www.toasttab.com/local/order/banh-sai-cargo-district-2162-wrightsville-avenue,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://www.toasttab.com/local/order/banh-sai-cargo-district-2162-wrightsville-avenue,Auto-derived from deal-intake.csv on intake.
source:farfalla:20260705,farfalla,webpage_text,tier_1_official,Farfalla / True Blue official site,https://www.wearetrueblue.com/farfalla,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://www.wearetrueblue.com/farfalla,Auto-derived from deal-intake.csv on intake.
source:the-vine:20260705,the-vine,webpage_text,tier_1_official,The Vine official website,https://www.thevinewilmington.com/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,false,14,2026-07-05,,,,https://www.thevinewilmington.com/,Auto-derived from deal-intake.csv on intake.
source:seaworthy-kitchen-and-bar:20260705,seaworthy-kitchen-and-bar,official_social_text,tier_2_official_social,Seaworthy Kitchen & Bar official Instagram,https://www.instagram.com/p/DRAhcgqEmLE/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.instagram.com/p/DRAhcgqEmLE/,Auto-derived from deal-intake.csv on intake.
source:havana-s-restaurant:20260705,havana-s-restaurant,official_social_text,tier_2_official_social,Havana's Restaurant official Instagram,https://www.instagram.com/p/DVWJi5ckwzF/,gpt_browsing_fetch,unknown,unknown,,unconfirmed,false,normal,active,true,false,true,14,2026-07-05,,,,https://www.instagram.com/p/DVWJi5ckwzF/,Auto-derived from deal-intake.csv on intake.
