restaurant_id,name,city,state,neighborhood,address,phone,official_website,official_instagram,official_facebook,google_business_url,ordering_url,cuisine,tags,status,last_checked,notes
capt-n-bill-s-backyard-grill-bill-s-brewing,Capt'n Bill's Backyard Grill / Bill's Brewing,,NC,,"Official Toast/source pages list Capt'n Bill's Backyard Grill at 4240 Market St, Wilmington, NC.",,,,https://www.facebook.com/captnbills/photos/1703370964385362/,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
c-street-mexican-grill,C-Street Mexican Grill,,NC,,"Official social page identifies C-Street Mexican Grill in Wilmington, NC.",,,,https://www.facebook.com/cstreetmexicangrill/posts/-kids-eat-free-today-after-4-pm-bring-the-family-enjoy-fresh-mexican-favorites-a/1584459159924738/,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
bonita-latin-fusion-and-cocktails,Bonita Latin Fusion & Cocktails,,NC,,"Official Toast/source lists Bonita Latin Fusion & Cocktails at 5 Brunswick St, Wilmington, NC.",,,,,,https://www.toasttab.com/local/order/bonita-latin-fusion-cocktails-5-brunswick-st,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
commodore-public-house-and-kitchen,Commodore Public House & Kitchen,,NC,,"Official website/social identify Commodore Public House & Kitchen in Wilmington, NC.",,,,https://www.facebook.com/commodoreilm/posts/commissary-tuesdaysall-sandwiches-only-12-with-your-choice-of-fries-including-th/1487092286762643/,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
1504-resto-bar-and-restaurant,1504 Resto Bar & Restaurant,,NC,,"Official social text references 2206 Carolina Beach Rd / Wilmington, NC.",,,https://www.instagram.com/reel/DSFZ3_8iRYG/,,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
banh-sai-cargo-district,Banh Sai Cargo District,,NC,,"Official Toast/source lists Banh Sai Cargo District at 2162 Wrightsville Avenue, Wilmington, NC.",,,,,,https://www.toasttab.com/local/order/banh-sai-cargo-district-2162-wrightsville-avenue,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
farfalla,Farfalla,,NC,,Official source identifies Farfalla in Wilmington/South Front context.,,https://www.wearetrueblue.com/farfalla,,,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
the-vine,The Vine,,NC,,"Official website identifies The Vine in Wilmington, NC.",,https://www.thevinewilmington.com/,,,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
seaworthy-kitchen-and-bar,Seaworthy Kitchen & Bar,,NC,,"Official site/social identify Seaworthy Kitchen & Bar in Carolina Beach, NC.",,,https://www.instagram.com/p/DRAhcgqEmLE/,,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
havana-s-restaurant,Havana's Restaurant,,NC,,"Official website/social identify Havana's Restaurant in Carolina Beach, NC.",,,https://www.instagram.com/p/DVWJi5ckwzF/,,,,,gpt-discovery-loop-2026-07-05,lead,2026-07-05,Auto-derived from deal-intake.csv on intake; city/cuisine/phone not independently confirmed - fill during human review.
