review_task_id,related_type,related_id,deal_id,source_id,restaurant_id,source_capture_id,direct_confirmation_id,report_source,opened_at,opened_by,assigned_reviewer,review_reason,risk_flags,priority,status,decision,decision_reason,decided_at,decided_by,next_action,next_action_due,public_copy_approval_status,food_alcohol_copy_check,next_check_due_required,expires_on_required,audit_event_id,resolution_notes
review-forkcast-20260705-001,deal_candidate,forkcast-cand-20260705-001,,source:capt-n-bill-s-backyard-grill-bill-s-brewing:20260705,capt-n-bill-s-backyard-grill-bill-s-brewing,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,recurrence_not_confirmed;official_social_only;candidate_weekend_items_not_reverified,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-002,deal_candidate,forkcast-cand-20260705-002,,source:c-street-mexican-grill:20260705,c-street-mexican-grill,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,official_social_only;exact_end_time_not_stated,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-003,deal_candidate,forkcast-cand-20260705-003,,source:bonita-latin-fusion-and-cocktails:20260705,bonita-latin-fusion-and-cocktails,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,day_mapping_not_confirmed;provided_50_percent_sushi_not_confirmed;provided_3_for_10_not_confirmed,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-004,deal_candidate,forkcast-cand-20260705-004,,source:commodore-public-house-and-kitchen:20260705,commodore-public-house-and-kitchen,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,exact_time_not_stated;official_social_only,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-005,deal_candidate,forkcast-cand-20260705-005,,source:1504-resto-bar-and-restaurant:20260705,1504-resto-bar-and-restaurant,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,official_social_only;exact_start_end_time_all_night_only,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-006,deal_candidate,forkcast-cand-20260705-006,,source:banh-sai-cargo-district:20260705,banh-sai-cargo-district,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,recurrence_not_confirmed;sweet_heat_wings_out_of_stock;social_price_conflict,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-007,deal_candidate,forkcast-cand-20260705-007,,source:farfalla:20260705,farfalla,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-008,deal_candidate,forkcast-cand-20260705-008,,source:the-vine:20260705,the-vine,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-009,deal_candidate,forkcast-cand-20260705-009,,source:seaworthy-kitchen-and-bar:20260705,seaworthy-kitchen-and-bar,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,full_menu_requires_visual_capture;price_conflict;recurrence_not_confirmed,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-010,deal_candidate,forkcast-cand-20260705-010,,source:havana-s-restaurant:20260705,havana-s-restaurant,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,official_social_only;exact_time_not_stated,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-011,deal_candidate,forkcast-cand-20260705-011,,source:lazy-pirate-sports-grill-and-axe-throwing:20260705,lazy-pirate-sports-grill-and-axe-throwing,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,market_price_no_fixed_amount;official_social_only,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-012,deal_candidate,forkcast-cand-20260705-012,,source:michael-s-seafood-restaurant:20260705,michael-s-seafood-restaurant,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,daily_rotation_not_confirmed,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-013,deal_candidate,forkcast-cand-20260705-013,,source:stoked-restaurant:20260705,stoked-restaurant,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,oyster_happy_hour_time_from_secondary_official_social_not_primary_toast;some_items_out_of_stock_possible,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-014,deal_candidate,forkcast-cand-20260705-014,,source:flaming-amy-s-burrito-barn:20260705,flaming-amy-s-burrito-barn,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,official_social_only;location_specific_terms_need_review,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-015,deal_candidate,forkcast-cand-20260705-015,,source:si-se-or-modern-mex:20260705,si-se-or-modern-mex,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,provided_candidate_offer_not_confirmed;official_social_only,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-016,deal_candidate,forkcast-cand-20260705-016,,source:la-tapatia-taqueria:20260705,la-tapatia-taqueria,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-017,deal_candidate,forkcast-cand-20260705-017,,source:miranda-mexican-restaurant:20260705,miranda-mexican-restaurant,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,official_social_only;exact_time_not_stated;taco_types_not_itemized,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-018,deal_candidate,forkcast-cand-20260705-018,,source:spindles-filling-station-spindles-at-the-pointe:20260705,spindles-filling-station-spindles-at-the-pointe,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,official_social_only;exact_end_time_not_stated;potential_social_price_variant,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
review-forkcast-20260705-019,deal_candidate,forkcast-cand-20260705-019,,source:the-crown-and-fiddle-pub-and-kitchen:20260705,the-crown-and-fiddle-pub-and-kitchen,,,gpt-intake-conversion-2026-07-05,2026-07-05,gpt-intake-conversion-2026-07-05,,AI intake conversion only; human reviewer must capture/review source evidence before any approval.,official_social_only;exclusions_not_stated,normal,open,,,,,human_reviewer_capture_and_confirm,,not_reviewed,n/a,true,true,,
