Queue_Row,Restaurant,Offer / Item,Evidence_File,Evidence_Hash,Source_URL,Accessed_Date
76,Blue Surf Cafe,"dinner_special, kids_special, flatbread_special, entree_discount",evidence_text/076_blue-surf-cafe-dinner-special-kids-special-flatbread-special-entree-discount.md,sha256:800fe7913959902a2d67ba0546f05f8f04b8bf923ce1b930a57c2492d6f794ac,https://bluesurfrestaurants.com/menu/,2026-07-06
77,Blue Surf Cafe,2 for $20 sandwiches,evidence_text/077_blue-surf-cafe-2-for-20-sandwiches.md,sha256:54637c2729d77327a7f801c2a6a89cb1bf94a07df1342376ca07db071e94dfc5,https://bluesurfrestaurants.com/menu/,2026-07-06
78,Blue Surf Cafe,$2 off entrees,evidence_text/078_blue-surf-cafe-2-off-entrees.md,sha256:f3d09816410dbd1b808b53312140dc649072309e68ab20617e9505c438580866,https://bluesurfrestaurants.com/menu/,2026-07-06
79,Blue Surf Cafe,$2 off flatbreads,evidence_text/079_blue-surf-cafe-2-off-flatbreads.md,sha256:ad5a334872637975b2c88eba03bb009bde6a2e7cad4691f81687520b9baa6549,https://bluesurfrestaurants.com/menu/,2026-07-06
80,Blue Surf Cafe,$5 kids menu items,evidence_text/080_blue-surf-cafe-5-kids-menu-items.md,sha256:506212fcf97c317cb7257f26a3fb4e63983fe6672ce1c637cafef187c58607df,https://bluesurfrestaurants.com/menu/,2026-07-06
81,Cape Fear Seafood Company - Monkey Junction,"lunch_special, brunch_special, seafood",evidence_text/081_cape-fear-seafood-company-monkey-junction-lunch-special-brunch-special-seafood.md,sha256:55f544c2edfedef39563132a8c31400d646c221864ccadfa64c09fe64f700027,https://capefearseafoodcompany.com/locations/monkey-junction/,2026-07-06
82,Cape Fear Seafood Company - Monkey Junction,12 lunch specials under $15,evidence_text/082_cape-fear-seafood-company-monkey-junction-12-lunch-specials-under-15.md,sha256:800b54043f3474405f8025c4f92cf33882f967aacf225ccd8d8646db65a5f1b9,https://capefearseafoodcompany.com/locations/monkey-junction/,2026-07-06
83,Caprice Bistro,"mussels, chicken_special, charcuterie, petit_plates, happy_hour_food",evidence_text/083_caprice-bistro-mussels-chicken-special-charcuterie-petit-plates-happy-hour-food.md,sha256:435640f192307b23c190d0621ce47989a610a49e1c4e611a375283aadb280687,https://www.capricebistro.com/weekly-specials,2026-07-06
84,Caprice Bistro,Coq au Vin Tuesday,evidence_text/084_caprice-bistro-coq-au-vin-tuesday.md,sha256:f93a1702e3ba2c1ca16e4e8e29b08d77a6e1941a523f1e78af7d625e00213b02,https://www.capricebistro.com/weekly-specials,2026-07-06
85,Caprice Bistro,Daily Petit Plates,evidence_text/085_caprice-bistro-daily-petit-plates.md,sha256:ace8c1e0b9ad1e4d5c69dabc942605209ad754846f04491f660030377d4eac79,https://www.capricebistro.com/weekly-specials,2026-07-06
86,Caprice Bistro,Date Night à Deux Wednesdays fromage & charcuterie,evidence_text/086_caprice-bistro-date-night-deux-wednesdays-fromage-charcuterie.md,sha256:e1e4128352f5422f0f6fa72355b0e789edcc45f31d329bf6d85f0bc7b49fece4,https://www.capricebistro.com/weekly-specials,2026-07-06
87,Caprice Bistro,Mussel Mondays,evidence_text/087_caprice-bistro-mussel-mondays.md,sha256:8004e1edc3cc7540edb7da66a622d7b470ecdc26793e73c016d3e38a1da8db9d,https://www.capricebistro.com/weekly-specials,2026-07-06
88,Carolina Ale House - Wilmington,Daily Lunch Specials / Promotions surface,evidence_text/088_carolina-ale-house-wilmington-daily-lunch-specials-promotions-surface.md,sha256:a4c03d463b73e6fd147e55676f9bef9cfb4509a3490f49f98d616a65f1e1ae97,https://www.carolinaalehouse.com/menu,2026-07-06
89,Circa 1922,Coverage / source row,evidence_text/089_circa-1922-coverage-source-row.md,sha256:fd175bae02839a0ec02a711c0ffcd84abe1de4aac97aabd2fb87ef8bde6eb9bb,,2026-07-06
90,Circa 1922,Happy Hour Bites menu signal,evidence_text/090_circa-1922-happy-hour-bites-menu-signal.md,sha256:47164a274e143fd3cc324b71c0c46492713d1705c43f6338208ce41ba7087a09,https://www.circa1922.com/,2026-07-06
