Evidence_File,Evidence_SHA256,Restaurant,Offer_Item,Queue_Row,Source_URL,Evidence_Type,Batch_Status,Remaining_Blocker
evidence/31-okami-japanese-steakhouse-all-you-can-eat-sushi.md,sha256:1a02418a81dee54974a47ef4e7c73d64f2ca911cceaac382de47cc4a4b46c5a0,Okami Japanese Steakhouse,All You Can Eat Sushi,31,https://www.okamisteakhouse.com/_files/ugd/8a63de_b4cf71943e444bfc890b08a887450a16.pdf,official_pdf_text,partial_source_text_confirmed,Needs exact AYCE price/terms and durable PDF screenshot/archive before promotion.
evidence/32-on-thyme-restaurant-happy-hour-food-lead.md,sha256:ea3ed0b67b4bef53e844c116dde3c0e409de2daba44be07736933ca284f4adac,On Thyme Restaurant,happy_hour_food_lead,32,https://www.oohyougotthyme.com/,official_site_fetch_error,blocked_official_site_fetch_failed,Official source inaccessible; exact food happy-hour terms missing.
evidence/33-on-thyme-restaurant-coverage-source-row.md,sha256:360be7586642e45164d91aad36513ecabaa89530687deeb91e628cf3f19cc481,On Thyme Restaurant,Coverage / source row,33,https://www.oohyougotthyme.com/,official_site_fetch_error,blocked_official_site_fetch_failed,"Need official source text, social, or direct confirmation."
evidence/34-port-land-grille-routine-rotating-menu.md,sha256:2bbc834b3cb2caf7975a4ad21bb93a54e801d491bc52df09355517c4403774d4,Port Land Grille,routine_rotating_menu,34,https://www.portlandgrille.com/entrees/,official_website_text,demoted_checked_no_offer_found,No deal terms; generic rotating menu should not be promoted.
evidence/35-port-land-grille-coverage-source-row.md,sha256:4a71013abed63a7e2ae025c2202e23cb72e48735ddcf98e757b3ebda5a9315d5,Port Land Grille,Coverage / source row,35,https://www.portlandgrille.com/,official_website_text,demoted_checked_no_offer_found,No offer found.
evidence/36-port-land-grille-chef-s-selection-rotates-daily.md,sha256:47bcbcc7ba631fe57b37ed724dd7318e63b3ddaa77e22f0bfca25686cae3de00,Port Land Grille,Chef's Selection rotates daily,36,https://www.portlandgrille.com/,official_website_text,demoted_checked_no_offer_found,"No price, discount, schedule, or named offer."
evidence/37-port-land-grille-chef-s-selection-rotates-daily.md,sha256:62565408fb4e49f9e1df2e3d6ee6a156c964d038ad88136af4a85d3c9bdb96a6,Port Land Grille,Chef's Selection rotates daily,37,https://www.portlandgrille.com/entrees/,official_website_text,demoted_checked_no_offer_found,No meaningful deal terms.
evidence/38-rumcow-happy-hour-food-lead.md,sha256:1032d140c8b35aa4547776a0e09129595a4e1355ce85df82d4768b828beb81b6,RUMCOW.,happy_hour_food_lead,38,https://rumcowwilmington.com/,official_website_text,blocked_no_exact_terms,Exact food happy-hour terms absent.
evidence/39-rumcow-coverage-source-row.md,sha256:85faf7b9cf751ea879c5fbddc1f40dd72a8200b9bcb0441a507626311d622367,RUMCOW.,Coverage / source row,39,https://rumcowwilmington.com/,official_website_text,blocked_no_exact_terms,No exact offer captured.
evidence/40-san-felipe-mexican-restaurant-l-burro-roqueta-lunch.md,sha256:2d22e7331a2bb2c89f9366bd1ac8256426ab1f96ba3d2b162eb2eece1e2bbe27,San Felipe Mexican Restaurant,L-Burro Roqueta lunch,40,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,official_pdf_text,source_text_confirmed_scope_review,Boundary market scope; durable PDF screenshot/archive needed.
evidence/41-san-felipe-mexican-restaurant-special-quesadilla-lunch.md,sha256:6ad21e5124fe63253c5056285561d36b54f9c3768f9a9c353a628ff635b4f4d4,San Felipe Mexican Restaurant,Special Quesadilla lunch,41,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,official_pdf_text,source_text_confirmed_scope_review,Scope/location mapping and durable PDF capture needed.
evidence/42-san-felipe-mexican-restaurant-speedy-gonzalez-lunch.md,sha256:b56966c4825b78bea832f166c2a5cf887a5a1f2e2b3ddfe44045ff3292aab0a9,San Felipe Mexican Restaurant,Speedy Gonzalez lunch,42,https://www.sanfelipenc.com/s/25yrs-Feature-Menu-Web.pdf,official_pdf_text,source_text_confirmed_scope_review,Scope/location mapping and durable PDF capture needed.
evidence/43-seawitch-tiki-bar-rotating-dinner-specials-specials-signal.md,sha256:3525b27c9b6d282055cc2a59246cc9dbda94adeb4ea61ce9afb68d5293f8ddf7,SeaWitch Tiki Bar,Rotating Dinner Specials / specials signal,43,https://seawitchtikibar.com/,official_website_text,partial_source_text_confirmed,Exact dinner-special food terms missing; drink-only specials suppressed.
evidence/44-sugo-italian-steakhouse-coverage-source-row.md,sha256:091e62eb127f85a5efe0c0dc72bdebe7def472d6b7eb04447deb7ac6514b2ca9,Sugo Italian Steakhouse,Coverage / source row,44,https://sugoitaliansteakhouse.com/menu,official_website_text,source_text_confirmed_needs_deal_value_review,Deal-value review and screenshot/archive needed.
evidence/45-sugo-italian-steakhouse-no-exact-special-captured.md,sha256:8609f1e015a3ac46c73dede3aaf575951a4d356b82ca6ed3b7a2bce0a8c5dd8e,Sugo Italian Steakhouse,No exact special captured,45,https://sugoitaliansteakhouse.com/menu,official_website_text,upgraded_source_text_confirmed_needs_deal_value_review,Deal-value review; screenshot/archive; determine if specials are a public candidate row or coverage-only.
